Attribute label , Status , Data type , Key name
``source:type`` , required , string ,	``::source/type``
``source:source_id:admin`` , required , string , ``:source/type``
``source:title`` , required , string , ``:source/title``
``source:author`` , optional , string , ``:source/author``
``source:url`` , optional , string , ``:source/url``
``source:created_timestamp`` , optional , string , ``:source/created-at``
``source:uploaded_timestamp`` , optional , string , ``:source/uploaded-at``
``source:published_timestamp`` , optional , string , ``:source/published-at``
``source:publication_id:admin`` , required , UUID , ``:source/publication:ref``
